Game Date,Split Type,Away Category,Away Team,Away Wins,Away Losses,Away Win %,Away P/L,Home Category,Home Team,Home Wins,Home Losses,Home Win %,Home P/L
"2025-05-25","ALL","ALL GAMES","CLE","28","22","56%","+510","ALL GAMES","DET","32","20","61%","+457"
"2025-05-25","LOCATION","ON ROAD","CLE","14","14","50%","+172","AT HOME","DET","17","7","70%","+476"
"2025-05-25","STATUS","AS FAVORITE","CLE","16","15","51%","+337","AS UNDERDOG OR EVEN","DET","21","10","67%","+224"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","CLE","1","0","100%","+175","WHEN LINE WAS +126 TO +156","DET","0","1","0%","-100"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","CLE","10","9","52%","+335","AS HOME UNDERDOG","DET","13","5","72%","+233"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","CLE","7","9","43%","-208","VS TEAMS THAT WIN >54% OF GAMES","DET","6","9","40%","-381"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","CLE","10","6","62%","+248","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","DET","4","3","57%","+48"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","CLE","19","13","59%","+542","3RD GAME WITHOUT A DAY OFF","DET","21","17","55%","-177"
"2025-05-25","HEAD TO HEAD","VS DET","CLE","2","0","100%","+206","VS CLE","DET","0","2","0%","-200"
"2025-05-25","PROJECTED STARTER","WHEN LOGAN ALLEN STARTS","CLE","5","4","55%","+44","WHEN TARIK SKUBAL STARTS","DET","6","4","60%","-113"
"2025-05-25","ALL","ALL GAMES","BAL","16","34","32%","-1996","ALL GAMES","BOS","27","26","50%","-413"
"2025-05-25","LOCATION","ON ROAD","BAL","8","19","29%","-1150","AT HOME","BOS","16","12","57%","+7"
"2025-05-25","STATUS","AS FAVORITE","BAL","7","15","31%","-776","AS UNDERDOG OR EVEN","BOS","20","16","55%","-180"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","BAL","7","9","43%","-176","WHEN LINE WAS +126 TO +156","BOS","14","5","73%","+620"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","BAL","6","13","31%","-689","AS HOME UNDERDOG","BOS","14","10","58%","-20"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","BAL","6","14","30%","-854","VS TEAMS THAT WIN >54% OF GAMES","BOS","7","7","50%","-297"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","BAL","7","15","31%","-864","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","BOS","12","8","60%","+67"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","BAL","12","19","38%","-822","3RD GAME WITHOUT A DAY OFF","BOS","16","21","43%","-732"
"2025-05-25","HEAD TO HEAD","VS BOS","BAL","1","4","20%","-332","VS BAL","BOS","4","1","80%","+259"
"2025-05-25","PROJECTED STARTER","WHEN DEAN KREMER STARTS","BAL","3","7","30%","-444","WHEN WALKER BUEHLER STARTS","BOS","6","1","85%","+404"
"2025-05-25","ALL","ALL GAMES","SF","30","22","57%","+257","ALL GAMES","WAS","24","28","46%","+206"
"2025-05-25","LOCATION","ON ROAD","SF","13","13","50%","+66","AT HOME","WAS","13","13","50%","+408"
"2025-05-25","STATUS","AS FAVORITE","SF","19","12","61%","+18","AS UNDERDOG OR EVEN","WAS","22","22","50%","+648"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","SF","4","4","50%","-145","WHEN LINE WAS +126 TO +156","WAS","8","7","53%","+407"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","SF","3","5","37%","-275","AS HOME UNDERDOG","WAS","13","9","59%","+808"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","SF","9","10","47%","-342","VS TEAMS THAT WIN >54% OF GAMES","WAS","11","11","50%","+408"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","SF","17","10","63%","+256","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","WAS","7","5","58%","+511"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","SF","22","15","59%","+307","3RD GAME WITHOUT A DAY OFF","WAS","15","21","41%","-69"
"2025-05-25","HEAD TO HEAD","VS WAS","SF","1","1","50%","-3","VS SF","WAS","1","1","50%","+35"
"2025-05-25","PROJECTED STARTER","WHEN ROBBIE RAY STARTS","SF","9","1","90%","+719","WHEN MIKE SOROKA STARTS","WAS","1","3","25%","-147"
"2025-05-25","ALL","ALL GAMES","MIL","25","28","47%","-730","ALL GAMES","PIT","19","34","35%","-1172"
"2025-05-25","LOCATION","ON ROAD","MIL","10","18","35%","-916","AT HOME","PIT","13","15","46%","-100"
"2025-05-25","STATUS","AS FAVORITE","MIL","18","8","69%","+515","AS UNDERDOG OR EVEN","PIT","13","23","36%","-510"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","MIL","11","7","61%","+194","WHEN LINE WAS +126 TO +156","PIT","5","7","41%","-168"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","MIL","5","4","55%","-82","AS HOME UNDERDOG","PIT","9","8","52%","+318"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","MIL","12","12","50%","-309","VS TEAMS THAT WIN >54% OF GAMES","PIT","8","10","44%","-10"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","MIL","14","16","46%","-499","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","PIT","12","19","38%","-601"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","MIL","20","20","50%","-216","3RD GAME WITHOUT A DAY OFF","PIT","14","25","35%","-883"
"2025-05-25","HEAD TO HEAD","VS PIT","MIL","1","2","33%","-113","VS MIL","PIT","2","1","66%","+70"
"2025-05-25","PROJECTED STARTER","WHEN LOGAN HENDERSON STARTS","MIL","3","0","100%","+257","WHEN BAILEY FALTER STARTS","PIT","5","5","50%","+212"
"2025-05-25","ALL","ALL GAMES","TOR","25","25","50%","-77","ALL GAMES","TB","24","26","48%","-249"
"2025-05-25","LOCATION","ON ROAD","TOR","9","13","40%","-191","AT HOME","TB","14","18","43%","-683"
"2025-05-25","STATUS","AS FAVORITE","TOR","16","16","50%","+212","AS UNDERDOG OR EVEN","TB","13","14","48%","-505"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","TOR","10","11","47%","-102","WHEN LINE WAS +126 TO +156","TB","4","7","36%","-370"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","TOR","8","10","44%","+35","AS HOME UNDERDOG","TB","11","11","50%","-359"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","TOR","4","10","28%","-647","VS TEAMS THAT WIN >54% OF GAMES","TB","9","7","56%","+157"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","TOR","1","4","20%","-337","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","TB","12","16","42%","-468"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","TOR","17","16","51%","+117","3RD GAME WITHOUT A DAY OFF","TB","19","16","54%","+309"
"2025-05-25","HEAD TO HEAD","VS TB","TOR","1","3","25%","-237","VS TOR","TB","3","1","75%","+235"
"2025-05-25","PROJECTED STARTER","WHEN CHRIS BASSITT STARTS","TOR","6","4","60%","+73","WHEN RYAN PEPIOT STARTS","TB","3","7","30%","-463"
"2025-05-25","ALL","ALL GAMES","CHC","30","22","57%","+237","ALL GAMES","CIN","26","27","49%","-358"
"2025-05-25","LOCATION","ON ROAD","CHC","15","12","55%","+296","AT HOME","CIN","14","13","51%","-187"
"2025-05-25","STATUS","AS FAVORITE","CHC","21","12","63%","+141","AS UNDERDOG OR EVEN","CIN","14","15","48%","+50"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","CHC","8","6","57%","+67","WHEN LINE WAS +126 TO +156","CIN","12","9","57%","+290"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","CHC","8","5","61%","+95","AS HOME UNDERDOG","CIN","6","5","54%","+92"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","CHC","6","4","60%","+86","VS TEAMS THAT WIN >54% OF GAMES","CIN","8","4","66%","+406"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","CHC","2","1","66%","+43","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","CIN","18","18","50%","-240"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","CHC","16","14","53%","-150","3RD GAME WITHOUT A DAY OFF","CIN","19","20","48%","-192"
"2025-05-25","HEAD TO HEAD","VS CIN","CHC","1","1","50%","-13","VS CHC","CIN","1","1","50%","-5"
"2025-05-25","PROJECTED STARTER","WHEN BEN BROWN STARTS","CHC","5","4","55%","+25","WHEN NICK LODOLO STARTS","CIN","5","5","50%","-63"
"2025-05-25","ALL","ALL GAMES","TEX","25","28","47%","-800","ALL GAMES","CHW","17","35","32%","-807"
"2025-05-25","LOCATION","ON ROAD","TEX","8","18","30%","-993","AT HOME","CHW","12","14","46%","+331"
"2025-05-25","STATUS","AS FAVORITE","TEX","17","9","65%","+219","AS UNDERDOG OR EVEN","CHW","17","35","32%","-807"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","TEX","4","3","57%","-10","WHEN LINE WAS +126 TO +156","CHW","2","5","28%","-259"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","TEX","3","5","37%","-270","AS HOME UNDERDOG","CHW","12","14","46%","+331"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","TEX","6","7","46%","-288","VS TEAMS THAT WIN >54% OF GAMES","CHW","10","10","50%","+579"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","TEX","11","17","39%","-881","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","CHW","4","5","44%","+130"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","TEX","18","21","46%","-701","3RD GAME WITHOUT A DAY OFF","CHW","12","25","32%","-584"
"2025-05-25","HEAD TO HEAD","VS CHW","TEX","0","2","0%","-200","VS TEX","CHW","2","0","100%","+296"
"2025-05-25","PROJECTED STARTER","WHEN PATRICK CORBIN STARTS","TEX","3","5","37%","-240","WHEN DAVIS MARTIN STARTS","CHW","2","7","22%","-399"
"2025-05-25","ALL","ALL GAMES","SEA","29","22","56%","+413","ALL GAMES","HOU","27","25","51%","-181"
"2025-05-25","LOCATION","ON ROAD","SEA","16","11","59%","+515","AT HOME","HOU","17","10","63%","+362"
"2025-05-25","STATUS","AS FAVORITE","SEA","17","13","56%","-152","AS UNDERDOG OR EVEN","HOU","9","9","50%","+109"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","SEA","7","6","53%","-81","WHEN LINE WAS +126 TO +156","HOU","7","6","53%","+152"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","SEA","8","4","66%","+206","AS HOME UNDERDOG","HOU","4","1","80%","+301"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","SEA","8","7","53%","+15","VS TEAMS THAT WIN >54% OF GAMES","HOU","11","8","57%","+89"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","SEA","12","9","57%","+326","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","HOU","11","11","50%","-164"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","SEA","18","15","54%","+94","3RD GAME WITHOUT A DAY OFF","HOU","20","16","55%","+213"
"2025-05-25","HEAD TO HEAD","VS HOU","SEA","3","3","50%","-18","VS SEA","HOU","3","3","50%","+13"
"2025-05-25","PROJECTED STARTER","WHEN LUIS CASTILLO STARTS","SEA","5","5","50%","-136","WHEN COLTON GORDON STARTS","HOU","2","0","100%","+200"
"2025-05-25","ALL","ALL GAMES","KC","28","25","52%","+98","ALL GAMES","MIN","29","22","56%","+101"
"2025-05-25","LOCATION","ON ROAD","KC","11","16","40%","-220","AT HOME","MIN","18","7","72%","+542"
"2025-05-25","STATUS","AS FAVORITE","KC","15","17","46%","+106","AS UNDERDOG OR EVEN","MIN","20","13","60%","+24"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","KC","8","10","44%","-234","WHEN LINE WAS +126 TO +156","MIN","9","9","50%","-152"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","KC","10","15","40%","-192","AS HOME UNDERDOG","MIN","15","7","68%","+256"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","KC","7","10","41%","-170","VS TEAMS THAT WIN >54% OF GAMES","MIN","9","5","64%","+250"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","KC","9","9","50%","+316","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","MIN","12","9","57%","+34"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","KC","22","18","55%","+266","3RD GAME WITHOUT A DAY OFF","MIN","20","15","57%","+159"
"2025-05-25","HEAD TO HEAD","VS MIN","KC","3","3","50%","-52","VS KC","MIN","3","3","50%","-76"
"2025-05-25","PROJECTED STARTER","WHEN KRIS BUBIC STARTS","KC","6","4","60%","+77","WHEN BAILEY OBER STARTS","MIN","8","2","80%","+443"
"2025-05-25","ALL","ALL GAMES","ARI","26","26","50%","-354","ALL GAMES","STL","30","22","57%","+808"
"2025-05-25","LOCATION","ON ROAD","ARI","13","13","50%","-58","AT HOME","STL","19","7","73%","+1065"
"2025-05-25","STATUS","AS FAVORITE","ARI","8","11","42%","-123","AS UNDERDOG OR EVEN","STL","9","7","56%","-39"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","ARI","3","8","27%","-482","WHEN LINE WAS +126 TO +156","STL","6","6","50%","-97"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","ARI","5","8","38%","-160","AS HOME UNDERDOG","STL","8","3","72%","+273"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","ARI","13","15","46%","-152","VS TEAMS THAT WIN >54% OF GAMES","STL","7","5","58%","+102"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","ARI","2","6","25%","-408","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","STL","14","6","70%","+671"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","ARI","17","19","47%","-283","3RD GAME WITHOUT A DAY OFF","STL","17","18","48%","+3"
"2025-05-25","HEAD TO HEAD","VS STL","ARI","0","2","0%","-200","VS ARI","STL","2","0","100%","+177"
"2025-05-25","PROJECTED STARTER","WHEN BRANDON PFAADT STARTS","ARI","7","3","70%","+341","WHEN SONNY GRAY STARTS","STL","8","2","80%","+460"
"2025-05-25","ALL","ALL GAMES","NYY","31","20","60%","-7","ALL GAMES","COL","10","42","19%","-2285"
"2025-05-25","LOCATION","ON ROAD","NYY","13","11","54%","-243","AT HOME","COL","7","20","25%","-752"
"2025-05-25","STATUS","AS FAVORITE","NYY","30","15","66%","+401","AS UNDERDOG OR EVEN","COL","9","41","18%","-2266"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","NYY","0","1","0%","-100","WHEN LINE WAS +126 TO +156","COL","4","7","36%","+260"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","NYY","12","7","63%","+65","AS HOME UNDERDOG","COL","6","19","24%","-733"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","NYY","11","7","61%","-20","VS TEAMS THAT WIN >54% OF GAMES","COL","6","22","21%","-992"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","NYY","11","11","50%","-399","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","COL","4","19","17%","-1032"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","NYY","21","13","61%","+65","3RD GAME WITHOUT A DAY OFF","COL","8","31","20%","-1642"
"2025-05-25","HEAD TO HEAD","VS COL","NYY","1","1","50%","-69","VS NYY","COL","1","1","50%","+141"
"2025-05-25","PROJECTED STARTER","WHEN WILL WARREN STARTS","NYY","5","5","50%","-135","WHEN ANTONIO SENZATELA STARTS","COL","3","7","30%","-211"
"2025-05-25","ALL","ALL GAMES","PHI","32","19","62%","+73","ALL GAMES","ATH","23","29","44%","-662"
"2025-05-25","LOCATION","ON ROAD","PHI","15","11","57%","-110","AT HOME","ATH","9","17","34%","-887"
"2025-05-25","STATUS","AS FAVORITE","PHI","27","15","64%","-72","AS UNDERDOG OR EVEN","ATH","13","21","38%","-546"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","PHI","4","3","57%","-84","WHEN LINE WAS +126 TO +156","ATH","1","6","14%","-453"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","PHI","13","7","65%","+62","AS HOME UNDERDOG","ATH","5","9","35%","-321"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","PHI","18","8","69%","+124","VS TEAMS THAT WIN >54% OF GAMES","ATH","9","15","37%","-436"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","PHI","19","9","67%","+197","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","ATH","4","4","50%","-6"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","PHI","20","16","55%","-347","3RD GAME WITHOUT A DAY OFF","ATH","14","24","36%","-1088"
"2025-05-25","HEAD TO HEAD","VS ATH","PHI","1","0","100%","+44","VS PHI","ATH","0","1","0%","-100"
"2025-05-25","PROJECTED STARTER","WHEN JESUS LUZARDO STARTS","PHI","7","3","70%","+201","WHEN GUNNAR HOGLUND STARTS","ATH","2","2","50%","-68"
"2025-05-25","ALL","ALL GAMES","MIA","20","29","40%","-102","ALL GAMES","LAA","24","26","48%","+398"
"2025-05-25","LOCATION","ON ROAD","MIA","6","15","28%","-336","AT HOME","LAA","10","10","50%","+38"
"2025-05-25","STATUS","AS FAVORITE","MIA","16","27","37%","-222","AS UNDERDOG OR EVEN","LAA","5","4","55%","-51"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","MIA","6","7","46%","-3","WHEN LINE WAS +126 TO +156","LAA","2","2","50%","-37"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","MIA","5","13","27%","-226","AS HOME UNDERDOG","LAA","3","2","60%","+8"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","MIA","7","4","63%","+351","VS TEAMS THAT WIN >54% OF GAMES","LAA","8","13","38%","-488"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","MIA","10","18","35%","-394","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","LAA","13","10","56%","+653"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","MIA","13","17","43%","+164","3RD GAME WITHOUT A DAY OFF","LAA","16","17","48%","+246"
"2025-05-25","HEAD TO HEAD","VS LAA","MIA","0","1","0%","-100","VS MIA","LAA","1","0","100%","+63"
"2025-05-25","PROJECTED STARTER","WHEN EDWARD CABRERA STARTS","MIA","3","4","42%","-71","WHEN KYLE HENDRICKS STARTS","LAA","3","6","33%","-170"
"2025-05-25","ALL","ALL GAMES","SD","28","22","56%","+109","ALL GAMES","ATL","25","26","49%","-875"
"2025-05-25","LOCATION","ON ROAD","SD","12","14","46%","-237","AT HOME","ATL","16","8","66%","+197"
"2025-05-25","STATUS","AS FAVORITE","SD","11","11","50%","+172","AS UNDERDOG OR EVEN","ATL","21","18","53%","-510"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","SD","6","4","60%","+291","WHEN LINE WAS +126 TO +156","ATL","5","6","45%","-245"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","SD","8","9","47%","+34","AS HOME UNDERDOG","ATL","15","7","68%","+180"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","SD","3","7","30%","-390","VS TEAMS THAT WIN >54% OF GAMES","ATL","7","11","38%","-558"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","SD","5","6","45%","-135","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","ATL","5","7","41%","-274"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","SD","18","12","60%","+384","3RD GAME WITHOUT A DAY OFF","ATL","19","17","52%","-392"
"2025-05-25","HEAD TO HEAD","VS ATL","SD","5","1","83%","+438","VS SD","ATL","1","5","16%","-435"
"2025-05-25","PROJECTED STARTER","WHEN DYLAN CEASE STARTS","SD","6","4","60%","+12","WHEN SPENCER SCHWELLENBACH STARTS","ATL","6","4","60%","-66"
"2025-05-25","ALL","ALL GAMES","LAD","32","19","62%","-119","ALL GAMES","NYM","30","21","58%","+78"
"2025-05-25","LOCATION","ON ROAD","LAD","13","11","54%","-146","AT HOME","NYM","17","6","73%","+520"
"2025-05-25","STATUS","AS FAVORITE","LAD","4","3","57%","+100","AS UNDERDOG OR EVEN","NYM","23","13","63%","+137"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","LAD","1","1","50%","+10","WHEN LINE WAS +126 TO +156","NYM","11","5","68%","+289"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","LAD","4","3","57%","+100","AS HOME UNDERDOG","NYM","15","5","75%","+414"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","LAD","6","7","46%","-264","VS TEAMS THAT WIN >54% OF GAMES","NYM","13","5","72%","+484"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","LAD","4","3","57%","+39","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","NYM","27","17","61%","+215"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","LAD","18","12","60%","-339","3RD GAME WITHOUT A DAY OFF","NYM","22","13","62%","+264"
"2025-05-25","HEAD TO HEAD","VS NYM","LAD","1","0","100%","+100","VS LAD","NYM","0","1","0%","-100"
"2025-05-25","PROJECTED STARTER","WHEN LANDON KNACK STARTS","LAD","3","1","75%","+29","WHEN KODAI SENGA STARTS","NYM","5","4","55%","-123"